Country;ISO Country code;Population 2018;Surface 2018;;GINI index;happy planet index 2016;happy planet index 2019;human development index 2017;human development index 2021;sustainable economic development assessment (SEDA) 2018;;GDP growth 2018;GDP growth 2021 or latest year;GDP 2018;GDP 2019;GDP 2020;GDP 2021;GDP per capita 2018;GDP per capita 2019;GDP per capita 2020;GDP per capita 2021;Economic Growth 2018;Economic Growth 2021 or latest;;health expenditure 2014;health expenditure 2015;health expenditure 2016;health expenditure 2017;health expenditure 2018;health expenditure 2019;health expenditure 2020;health expenditure 2021;health expenditure 2021 or latest;health expenditure per person 2015;health expenditure per person 2018;health expenditure per person 2019;infant mortality 2020;maternal mortality per 100,000 live births 2017 (latest year);;education expenditure 2014;education expenditure 2018;education expenditure 2021 or latest year;Education as % of GDP 2018;Education as % of GDP 2021 or latest; % of primary school aged kids out of school 2018;% of primary school aged kids out of school 2021 or latest year;;Unemployment (%) 2018;Unemployment (%) 2021;% of population in extreme poverty latest year;% of population with access to electricity 2020;;political rights score 2018;political rights score 2022;civil liberties score 2018;civil liberties score 2022;political stability & absence of violence 2017;political stability & absence of violence 2021;government effectiveness 2017;government effectiveness 2021;regulatory quality 2017;regulatory quality 2021;rule of law 2017;rule of law 2021;control of corruption 2017;control of corruption 2021;judicial effectiveness score 2018;judicial effectiveness score 2022;government integrity score 2018;government integrity score 2022;overall economic freedom score 2017; overall economic freedom score 2022;financial freedom score 2018;financial freedom score 2022;government expenditure (% of GDP) 2018;;CO2e emissions per capita 2019;share of electricity from renewables generation 2015;share of electricity from renewables generation 2020 or latest year;;% of seats held by women in national parliaments 2017;% of seats held by women in national parliaments 2018; % of seats held by women in national parliaments 2021;Military Spending as % of GDP 2021;Military Spending as % of GDP 2019
Kenya;KEN;50000000;569140;;48,5;24,2;45,2;0,59;0,575;35,4;;5,6;7,51735538703886;223,032171628642;234,43839118946;233,851930179264;251,431410850289;4443,45232207281;4647,40976061869;4587,1863196792;5023,51127180751;5,64794640709219;7,51735538703886;;4,7172999382019;4,74350023269653;4,89518022537231;4,96308994293213;5,10761976242065;4,97439002990723;5,07996988296509;4,79903602600098;4,79903602600098;157;73,54042816;83,41162872;15,7;342;;5,280149937;5,10761976242065;4,79903602600098;5,10761976242065;4,8;;;;11;5,74200010299683;;71,4379425048828;;19;19;29;29;-1,08;-1,08966493606567;-0,31;-0,3299939930439;-0,23;-0,445434808731079;-0,41;-0,390346080064774;-0,96;-0,713267028331757;44;39;27,5;30,9;54,7;52,6;50;50;27,4;;0,423783898343557;88,2%;88,4737530356809%;;21,8;21,7765042979943;21,6138328530259;1,11910912344849%;1,2%
Korea (Dem. People’s Rep.);PRK;25000000;120408;;-;-;-;-;-;-;;1;;0;0;0;0;2197,69948408805;2191,52908878037;2171,86794306447;;;-;;11,2323703765869;9,86295986175537;10,0935897827148;10,8631601333618;11,9682903289795;12,3946599960327;;;12,3946599960327;-;;;2,7;89;;-;;;;-;;;;4,3;2,59200000762939;;52,3135452270508;;0;0;3;3;-0,48;-0,453303277492523;-1,69;-1,55690467357636;-2,34;-2,32738518714905;-1,71;-1,62643885612488;-1,48;-1,61;5;6,5;25,2;3,8;5,8;3;0;0;-;;2,18341993045969;2,1%;7,56727069042025%;;16,3;16,3027656477438;17,6128093158661;...;
Korea (Rep.);KOR;51000000;96920;;35,7;24,8;39,8;0,903;0,925;-;;2,6;4,02115847345807;2164,81289727432;2213,39081940197;2194,53203397708;2282,7776448141;;;;;2,90740377377135;4,02115847345807;;;;;;;;;;;-;2543,59643555;2624,53320313;7,6;11;;5,05671978;4,45807981491089;;4,45807981491089;-;0,92399001121521;0,009929999709129;;3,7;3,53200006484985;;100;;33;33;51;50;0,29;0,66257119178772;1,08;1,4062123298645;1,11;1,09952557086945;1,16;1,12666583061218;0,48;0,76;63,7;77,1;49,9;69,2;73,8;74,6;70;60;32,3;;11,7993253802233;73,8%;85,01385889308%;;17;17;19;2,77701963271063%;2,7%
Kosovo;-;1900000;10887;;23,2;-;-;-;-;-;;3,3;9,12757763607948;19,3279502574467;20,2473481134066;19,166083982736;20,9154831780565;43044,2917633371;42998,3882447659;45225,8445435145;46918,4748224493;3,40663100837845;9,12757763607948;;;;4,33309984207153;4,32823991775513;4,45807981491089;;;;4,45807981491089;-;;;45,7;;;-;;;;-;;;;-;;;;;24;25;28;31;-0,21;-0,120379224419594;-0,41;-0,223405107855797;-0,13;-0,272519022226334;-0,42;-0,274583756923676;-0,5;-0,318530052900314;59;31;45,4;37,5;66,6;60,1;30;30;27,1;;;;;;-;;;0,939858933962356%;0,8%
Kuwait;KWT;4200000;17818;;-;-;33,3;0,803;0,831;65,7;;0,9;-8,85527892349084;211,29601229151;210,129744326841;191,522169365481;0;52290,9058973213;52054,7125833973;47303,1298528111;;2,43398126829415;-;;4,40000009536743;4,77148008346558;5,84771013259888;6,3654899597168;6,38917016983032;6,49243021011353;6,55125999450684;;6,55125999450684;2978;1733,80908203;1758,67419434;13,6717021875404;12;;-;6,38917016983032;6,55125999450684;6,38917016983032;6,55125999450684;;;;2,4;3,71399998664856;;100;;13;14;23;23;-0,04;0,299016237258911;-0,17;-0,038367245346308;-0,06;0,174784913659096;0,1;0,260516583919525;-0,33;-0,033566016703844;53,5;42;36,6;43,8;62,2;58,3;60;60;51,5;;22,0224164011923;;0,0794288385688285%;;3,1;3,07692307692308;1,53846153846154;6,69062243044488%;5,6%
Kyrgyzstan;KGZ;6000000;191801;;33,4;33,1;53,7;0,672;0,692;45,4;;3,5;3,61061269547005;32,4558929245573;33,9490670647258;31,0979007376667;32,2207254897256;5255,78347282087;5480,29390725587;4985,02955528531;5287,79066976613;3,75791012480484;3,61061269547005;;5,53159999847412;5,98550987243652;6,58615016937256;6,02618980407715;5,55267000198364;5,36674976348877;;;5,55267000198364;287;65,73706055;62,14477539;22;60;;5,531599998;5,55267000198364;5,36674976348877;5,55267000198364;5,37;0,287640005350113;0,116539999842644;;7,7;9,10400009155273;0,2;99,9810485839844;;12;4;25;23;-0,43;-0,425941467285156;-0,71;-0,727085053920746;-0,35;-0,577635109424591;-0,93;-1,07357609272003;-1,05;-1,12;22,1;11,8;29,4;28,8;62,8;55,8;50;50;37,3;;1,55664325620875;85,8%;92,3546543361451%;;19,2;19,1666666666667;20,4545454545455;1,66921378312216%;1,5%
Laos;LAO;7000000;230800;;36,7;-;42,8;0,601;0,607;37,8;;7;2,52835100103448;53,6167501502587;56,5430103386593;56,8274396781204;58,2642368180844;7774,2229979859;8219,50576337755;8238,4945676447;8674,03369483136;6,24796000755872;2,52835100103448;;2,93780994415283;;;2,51999998092651;2,36999988555908;2,29999995231628;2,23000001907349;;2,23000001907349;-;57,70953369;68,22131348;6;185;;2,937809944;2,36999988555908;2,23000001907349;2,36999988555908;2,23;8,51140022277832;8,23966026306152;;1,5;1,25800001621246;1,2;100;;1;2;11;11;0,43;0,726245760917664;-0,36;-0,617719113826752;-0,72;-0,887527108192444;-0,88;-0,641927063465118;-0,94;-1,04;41,4;11,1;33,1;20,4;53,6;49,2;20;20;26,3;;2,60968183422462;96,5%;64,3897817086312%;;27,5;27,5167785234899;21,9512195121951;...;0,2%
Latvia;LVA;2000000;62249;;34,5;17,1;34,1;0,847;0,863;66,1;;2,7;4,48209539940108;57,9129595102358;59,3517064260947;57,1146940791071;59,6746291548087;30877,0419264807;31883,2591148032;31424,9022103534;34468,6021095498;3,9894803874928;4,48209539940108;;5,28122997283936;5,28251981735229;4,65749979019165;4,36671018600464;4,24356985092163;;;;4,24356985092163;1429;1101,49255371;1166,79785156;;19;;5,268799782;4,24356985092163;;4,24356985092163;-;1,1314400434494;1,17625999450684;;9,9;7,59999990463257;0,2;100;;35;37;52;51;0,46;0,687567293643951;0,9;0,872736692428589;1,15;1,22347772121429;0,93;0,981282293796539;0,54;0,746790170669556;58,9;75,1;45,4;61,1;73,6;74,8;60;60;37;;3,95543586167438;51,5%;66,6361304507146%;;16;31;29;2,28041898110783%;2%
Lebanon;LBN;4600000;10230;;-;21,9;39;0,757;0,706;44,8;;1;-10,5193894162206;106,743582305644;99,3623434141009;73,6198141008488;65,8754591680829;15933,400974913;15105,0592123976;11376,7939846074;10691,21531579;-1,88470547404803;-10,5193894162206;;2;2,09999990463257;2,12392997741699;2,13294005393982;2,52447009086609;2,59202003479004;;;2,52447009086609;1117;695,05877686;663,05108643;58,1;29;;-;2,52447009086609;2,59202003479004;2,52447009086609;;;;;6,8;14,4879999160767;;100;;11;13;32;29;-1,59;-1,49348056316376;-0,51;-1,28703927993774;-0,31;-0,882778704166412;-0,82;-1,07356607913971;-1;-1,2297043800354;33,6;27,4;20,2;22,8;53,2;47,3;50;50;26,9;;4,07689427350833;2,8%;3,94317436517388%;;3,1;4,6875;4,6875;...;4,2%
Lesotho;LSO;1900000;30355;;63,2;16,7;27,3;0,52;0,514;29,5;;2,5;1,01587081905888;5,51255584749346;5,64495537496707;5,21838113409235;5,27139314526087;2677,12333389169;2768,21613596146;2569,33774118471;2682,23552809652;-1,22313731083291;1,01587081905888;;7,19859981536865;9;7,76074981689453;8,15688991546631;7,28535985946655;7,99171209335327;7,66935920715332;8,70264053344727;8,70264053344727;251;124,68972778;124,19363403;7,66516992182274;544;;-;7,28535985946655;8,70264053344727;7,28535985946655;8,70264053344727;6,818039894104;;;27,4;24,5979995727539;;47,3527374267578;;27;27;37;36;-0,25;-0,219594419002533;-0,85;-0,913774907588959;-0,32;-0,737228155136108;-0,27;-0,410292714834213;-0,03;-0,315276622772217;52,7;44,1;32,9;42,8;53,9;48,1;40;40;50,4;;0,362307409340339;100%;100%;;22,9;22,1311475409836;23,3333333333333;1,28718749480684%;1,5%
Liberia;LBR;4400000;96320;;32;22,2;46;0,435;0,481;30,6;;0;4,0000099975916;7,44034993594077;7,25677435791125;7,04034163235848;7,32195600151742;1580,85466837543;1531,79474454235;1468,24523891743;1552,80721166626;1,15757512207355;4,0000099975916;;2,20005011558533;2,1708300113678;2,14812994003296;2,66330003738403;2,50391006469727;2,27039003372192;2,30928993225098;2,69217944145203;2,69217944145203;128;61,22189713;52,56287003;9,5;661;;-;2,50391006469727;2,69217944145203;2,50391006469727;2,69217944145203;;;;4;4,09499979019165;;27,5347099304199;;27;27;35;33;-0,41;-0,241881981492043;-1,37;-1,37698519229889;-0,95;-0,950167119503021;-0,97;-0,925903975963593;-0,69;-0,916117370128632;42,4;23,4;32;25,1;50,9;47,9;20;20;36,8;;0,238993430019259;;1,25786163522013%;;12,3;12,3287671232877;10,958904109589;0,951294573348154%;0,5%
Libya;LBY;6000000;1759540;;-;-;42,7;0,706;0,718;-;;-6,4;31,3724222267248;166,700617401435;148,037325396086;112,612315487587;147,941526581644;25556,8544005915;22764,4780468399;17286,3681373478;23356,604957775;7,9413678529104;31,3724222267248;;;;;;;;;;;-;;;22;72;;-;;;;-;;;;19,2;19,5839996337891;;69,7073516845703;;1;1;8;8;-2,33;-2,36690974235535;-1,77;-1,72276699542999;-2,21;-1,95119202136993;-1,78;-1,78426325321198;-1,59;-1,56740462779999;22,1;-;23,1;-;-;-;-;-;92,9;;8,38072934435112;;0,0252395071481439%;;16;15,9574468085106;15,9574468085106;...;15,5%
Lithuania;LTU;2900000;62680;;37,9;21;36,9;0,858;0,875;67,4;;1,6;5,00350076587901;99,3054769027311;103,847482738302;103,709955999877;108,899084442624;36376,1898152469;38540,7814542339;38880,5452693822;42665,3229305411;3,99331032795327;5,00350076587901;;4,48657989501953;4,2271900177002;4,004310131073;3,81220006942749;3,89293003082275;;;;3,89293003082275;1875;1249,03100586;1369,97949219;2,3;8;;4,485509872;;;3,89293003082275;-;0,179499998688698;0,101929999887943;;9,2;7,90299987792969;0,4;100;;38;38;53;51;0,78;0,815429747104645;0,98;1,05660545825958;1,16;1,27688825130463;0,99;1,10986745357513;2,06;0,85123997926712;66,7;74,6;50,9;66,6;75,3;75,8;70;70;34,7;;4,19807602212644;48,1%;71,3316892725031%;;21,3;21,2765957446809;27,6595744680851;2,02172617270963%;2%
Luxembourg;LUX;600000;2586;;30,4;13,2;31,7;0,904;0,93;83,2;;4,5;6,88656770842904;69,9446025596535;72,2414481438705;70,9582664799138;75,8448555457806;116965,586110774;117341,915064354;117846,13649183;134753,797686064;2,00437711983041;6,88656770842904;;3,85569000244141;3,76792001724243;;3,48645997047424;3,64749002456665;;;;3,64749002456665;6382;6227,08398438;6220,74121094;3,4;5;;3,994390011;3,89293003082275;;3,64749002456665;-;0,99738997220993;0,621209979057312;;5,9;5,22700023651123;0,1;100;;38;38;60;59;1,34;1,20638000965118;1,68;1,7190432548523;1,69;1,915203332901;1,74;1,78687965869904;1,99;1,87159085273743;77,9;96,4;79;89,5;76,4;80,6;80;80;41,4;;15,3064265559542;;;;28,3;20;35;0,626880782058484%;0,6%
Macedonia;MKD;2100000;25433;;33,7;23,4;43,9;-;-;52,5;;3,7;3,96426417144993;33,5216361092297;34,832472717237;32,7038997708372;34,0003687521194;16796,2702317993;17546,4169226029;16719,6900959522;17918,0770676768;2,88059670964267;3,96426417144993;;2,04853010177612;3,00247001647949;3,09952998161316;2,70642995834351;2,72878003120422;3,05862998962402;6,30000019073486;;6,30000019073486;857;399,09707642;436,88717651;;;;-;3,64749002456665;;;-;3,00205993652344;3,52759003639221;;26,7;16,2029991149902;1,2;100;;21;28;37;39;-0,25;0,124911822378635;0,14;-0,084261909127235;0,5;0,416724890470505;-0,24;-0,075887896120548;-0,31;-0,35;57;50,2;47,4;38,7;71,3;65,7;60;60;31,5;;3,99673721344351;32,7%;28,6103222381787%;;34,2;;;1,54104251710607%;1,2%
Madagascar;MDG;26000000;581540;;41;-;44,2;0,519;0,501;31,1;;3;4,40233999987778;41,8110152263504;43,6506998963194;40,5337736545072;42,3182081855595;1630,08813940303;1686,84206380579;1543,95293801829;1635,4180120781;3,20001288035283;4,40233999987778;;2,3812301158905;2,21011996269226;2,68719005584717;2,70137429237366;2,84409999847412;2,99485874176025;3,09570622444153;;3,09570622444153;77;22,33701324;19,84997559;5,5;335;;-;2,84409999847412;3,09570622444153;2,84409999847412;3,09570622444153;1,95992994308472;2,32186007499695;;2,1;2,59400010108948;;33,7350769042969;;24;27;32;34;-0,33;-0,635925054550171;-1,14;-1,00036108493805;-0,69;-0,820082366466522;-0,86;-0,866766154766083;-1,05;-0,933383822441101;21,4;33,4;17,8;23;56,8;58,9;50;50;15,4;;0,152766255296265;59,7%;41,2988752876606%;;19,2;19,205298013245;17,8807947019868;0,770034303370989%;0,6%
Malawi;MWI;19000000;94080;;46,1;22,1;38,7;0,477;0,512;32,5;;3;2,75141640762955;27,1555344056584;28,6350171628855;28,8640968222423;29,6582683181235;1532,48931243263;1602,01559022436;1591,47559107047;1658,33441792543;4,39168829609886;2,75141640762955;;4,83983993530273;5,60866022109985;4,74856996536255;4,03133010864258;3,32295989990234;3,71131992340088;2,90761995315552;;2,90761995315552;108;37,43349457;30,40028763;7,4;349;;4,839839935;3,32295989990234;2,90761995315552;3,32295989990234;3,71;;;;6,7;7,02099990844727;29,3;14,8667688369751;;26;29;37;37;-0,27;-0,112530209124088;-0,67;-0,768746435642242;-0,75;-0,785958766937256;-0,37;-0,238201826810837;-0,65;-0,300203651189804;47,1;53;28,9;29,4;52;53;50;50;31,3;;0,077836683917085;99,1%;88,7548831034793%;;16,7;16,6666666666667;22,9166666666667;0,94896963823386%;0,9%
Malaysia;MYS;32000000;328657;;46,2;30,3;41,7;0,802;0,803;59,8;;5;3,13258966090125;869,460564471453;908,059729351839;856,782141888424;883,621610681669;28236,2071895568;29620,9786550876;27921,4109533867;29617,2967566026;4,84308697634881;3,13258966090125;;5,21263980865479;4,89486980438232;4,75192022323608;4,6753101348877;4,47865009307861;4,15661001205444;3,91697001457214;;3,91697001457214;1064;426,46859741;436,61203003;5,3;29;;5,212639809;4,47865009307861;3,91697001457214;4,47865009307861;3,92;0,26282000541687;1,60433995723724;;3,3;4,60900020599365;;100;;18;20;27;30;0,16;0,138853475451469;0,84;0,991686642169952;0,68;0,72238963842392;0,41;0,557822585105896;0,03;0,170527324080467;65,2;57,6;54,8;53,9;74,5;68,1;50;50;24,9;;7,92712603743521;10,4%;17,8609152767201%;;10,4;13,9013452914798;14,8648648648649;1,05799365858043%;1%
Maldives;MDV;400000;298;;38,4;-;-;0,717;0,747;-;;1,9;30,9628422550665;9,69206090142097;10,3592322165971;6,88889956578465;9,02189867144851;19242,8317253968;20333,9241518872;13442,3861472741;18232,2447260345;8,12312890817314;30,9628422550665;;3,0885899066925;3,88751006126404;3,6869900226593;3,88747000694275;3,91248989105225;4,12159013748169;;;4,12159013748169;1514;786,43768311;854,37060547;17,8;53;;3,470459938;3,91248989105225;4,12159013748169;3,91248989105225;4,12159013748169;3,41718006134033;2,00353002548218;;3,2;6,07800006866455;;100;;14;19;21;21;0,26;0,502794146537781;-0,45;0,386397957801819;-0,42;-0,522771179676056;-0,62;-0,171864733099937;-0,79;-0,371216475963593;38,8;32,1;36,6;43,1;51,1;47,3;30;30;42,6;;3,97395626217534;;0,411522633744856%;;5,9;5,88235294117647;4,59770114942529;;
Mali;MLI;19000000;1220190;;40,1;-;39,3;0,427;0,428;29,7;;6,1;3,06987004655758;43,5679151253895;45,6400752293188;45,0762147158519;46,4599959295358;2338,26031226403;2419,68868873067;2347,79667440968;2447,324282737;4,74648432724561;3,06987004655758;;3,64819002151489;3,80152010917664;3,09477996826172;3,78976988792419;3,90556502342224;3,48410224914551;3,76343131065369;;3,76343131065369;118;33,39861298;34,28177643;5,6;562;;3,637409925;3,90556502342224;3,76343131065369;3,90556502342224;3,76;40,988410949707;;;8,1;7,71999979019165;3;50,5614166259766;;17;8;27;24;-1,91;-2,35243654251099;-0,94;-1,2231879234314;-0,57;-0,621647953987122;-0,78;-0,902032434940338;-0,63;-0,86700701713562;32,4;34,1;31,4;28,3;57,6;55,9;40;40;22,2;;0,29657101956316;54%;31,5045613781211%;;8,8;8,84353741496599;27,2727272727273;2,82194830771039%;2,7%
Malta;MLT;400000;316;;28,1;29;43,5;0,878;0,918;68,8;;6,3;9,4135383709695;21,6158341272484;22,8827676695375;20,9723315798125;22,9465700603651;45568,7232072745;47407,8807867595;43243,1726484364;47714,4521686333;6,03421380724669;9,4135383709695;;7,00420999526978;5,02398014068604;5,08445978164673;4,65162992477417;;;;;;3471;2753,51098633;2531,91088867;35;6;;7,249639988;;;;;;;;5,3;3,49900007247925;0,1;100;;36;35;56;54;1,27;0,972675502300262;1;0,89264053106308;1,28;0,813723206520081;1,14;0,864450693130493;0,74;0,317580759525299;62,8;89,9;49,9;55,8;68,5;71,5;60;50;40,4;;3,29324560594014;7,9%;11,4867634684675%;;11,9;11,9402985074627;13,4328358208955;0,513660031361857%;0,6%
Mauritania;MRT;3800000;1030700;;37;18;34,7;0,52;0,556;28,9;;1,9;2,29974854129526;22,8681321652962;24,1853207051866;23,7588556742014;24,3052496109973;5317,46429363969;5569,53916316759;5389,64648844584;5591,83473986426;4,52674622501065;2,29974854129526;;;;1,94405996799469;;;1,82437002658844;1,88116002082825;;1,88116002082825;177;57,29694748;57,88484573;14,8;766;;-;15,1999998092651;15,75;15,1999998092651;15,75;19,6911106109619;23,1424007415771;;11,7;11,4630002975464;;47,3484191894531;;9;14;21;21;-0,62;-0,670254647731781;-0,72;-0,733716249465942;-0,78;-1,05522394180298;-0,6;-0,670558989048004;-0,75;-0,821054399013519;17,6;29,9;28,9;23,5;54;55,3;40;40;30,1;;0,872793555310964;;;;25,2;20,2614379084967;20,2614379084967;2,3781621983778%;2,8%
Mauritius;MUS;1300000;2030;;35,9;27,4;51,5;0,79;0,802;60,2;;3,4;4,04021973384492;28,1000237840908;28,9465021303083;24,6350145207883;25,6303232388927;22738,6929559433;23834,9650016217;20528,8336499786;22240,1349561848;3,75967723144153;4,04021973384492;;4,91695022583008;4,88667011260986;5,01359987258911;5,02312994003296;4,83458995819092;4,71929979324341;4,60817003250122;;4,60817003250122;1099;656,62249756;685,94561768;29;61;;4,916950226;;1,88116002082825;;1,88;1,30397999286652;0,332439988851547;;7,8;7,41400003433228;;99,6616516113281;;37;36;52;50;0,99;0,855809509754181;0,9;0,849402546882629;1;1,1671998500824;0,68;0,873426914215088;0,2;0,467553555965424;69,6;81,7;52,1;56,5;75,1;70,9;70;70;25,4;;3,29459100560393;23,8%;24,5952563680883%;;11,6;11,5942028985507;20;0,169557664598392%;0,2%
Mexico;MEX;129000000;1943945;;48,2;40,7;54,3;0,774;0,758;49,1;;2,5;4,79719174934905;2514,77989843196;2510,10475188814;2305,09551036589;2415,67536200378;20096,1566534339;19862,5631976218;18670,8104030112;20036,4553884275;2,19499472522698;4,79719174934905;;5,25747013092041;5,22942018508911;4,90681982040405;4,51821994781494;4,2542200088501;;;;4,2542200088501;1009;521,00830078;540,37231445;25,5;33;;5,325860023;4,83458995819092;4,60817003250122;4,2542200088501;-;0,699460029602051;0,792649984359741;;4;4,37900018692017;1;99,4000015258789;;26;27;36;33;-0,65;-0,636740207672119;-0,03;-0,312162280082703;0,2;-0,230723783373833;-0,57;-0,799713492393494;-0,93;-1,00162887573242;39;40,7;26,9;32;64,8;63,7;60;60;27;;3,52160004771504;16%;21,9092281294751%;;42,6;48,2;50;0,680130763342781%;0,5%
Moldova;MDA;3600000;32891;;26,8;-;51;0,7;0,767;48,7;;-1,1;13,9445896006365;33,4820473324337;34,7153263690935;32,1532720478013;36,6369138780434;12658,5037557636;13576,2947361716;12941,8927818422;15637,2403720663;4,30147775702727;13,9445896006365;;6,26601982116699;5,80568981170654;5,60844993591309;5,6184401512146;5,43973016738892;6,10378980636597;6,38872003555298;;6,38872003555298;515;276,47143555;284,30712891;36,3;19;;7,464509964;5,43973016738892;6,38872003555298;5,43973016738892;6,38872003555298;0,647819995880127;0,790929973125458;;5;3,96199989318848;;100;;26;27;35;35;-0,24;-0,205520451068878;-0,51;-0,404990613460541;-0,04;0,013904042541981;-0,41;-0,331918448209763;-0,8;-0,447890877723694;26,3;30,7;26,6;34,7;58,4;61,3;50;50;38;;3,32461016755783;5,6%;4,9176852472918%;;22,8;22,7722772277228;39,6039603960396;0,41161360906193%;0,4%
Mongolia;MNG;3000000;1553556;;34;14,3;24,5;0,741;0,739;50,6;;2,3;1,42100909686505;38,1333491517365;40,2696724999901;38,4342807069494;38,9804353321097;12316,0010702258;13013,047241843;12365,9384827552;12862,746927421;7,7448806201857;1,42100909686505;;4,71484994888306;4,22361993789673;5,18310022354126;4,06897020339966;6,17301988601685;4,94088983535767;;;4,94088983535767;470;159,37991333;163,44186401;;;;4,714849949;6,17301988601685;4,94088983535767;6,17301988601685;4,94;;;;6,7;7,08199977874756;0,1;98,0999984741211;;36;36;49;48;0,82;0,654301583766937;-0,26;-0,467179894447327;-0,12;-0,208566814661026;-0,3;-0,225342378020287;-0,45;-0,528645813465118;30,9;57,1;34,8;37;55,7;63,9;60;50;37,8;;;3,3%;9,90884475428516%;;17,1;17,1052631578947;17,1052631578947;0,655433038383716%;0,7%
Montenegro;MNE;600000;13452;;31,9;25,1;41,3;0,814;0,832;-;;4,1;12,4343589851741;12,8717371123062;13,3947087106518;11,3443948792473;12,7549976632286;21513,2997530468;23072,5827371011;19989,6536652962;22795,4072702571;5,0778888113381;12,4343589851741;;;;;;;;;;;957;731,4810791;735,15887451;13,2;45;;-;;;;-;0,71943998336792;0,616119980812073;;17,5;18,4869995117188;1;100;;25;26;42;41;0,01;-0,148919776082039;0,15;0,006132639478892;0,3;0,430620789527893;0,01;-0,059087976813316;-0,09;-0,019546320661902;51,3;43;38,1;46,4;64,3;57,8;50;50;46,3;;7,15312008585735;50,9%;59,45347543278%;;23,5;23,4567901234568;24,6913580246914;1,74294562304317%;1,6%
Morocco;MAR;36000000;446300;;40,9;32,7;50,9;0,667;0,683;45,8;;4,5;7,3727276184739;272,53168971536;279,639140385546;262,040741347904;281,360291456914;7624,84423828125;7865,26220703125;7368,8916015625;8143,525390625;3,148502655914;7,3727276184739;;;4,64598417282104;;5,11831569671631;5,34884786605835;5,93135690689087;6,75430202484131;;6,75430202484131;435;174,78184509;174,22377014;2,5;70;;-;5,34884786605835;6,75430202484131;5,34884786605835;6,75430202484131;0,20558999478817;0,447120010852814;;10;11,4670000076294;;100;;14;13;25;24;-0,41;-0,396076440811157;-0,16;-0,066775172948837;-0,23;-0,121726758778095;-0,17;-0,253220349550247;-0,13;-0,433994024991989;44,3;32,7;41,3;41;61,9;59,2;70;70;31,4;;1,95987228468546;15,7%;18,1906906605213%;;20,5;20,5063291139241;22,7848101265823;4,18351299275295%;3,1%
Mozambique;MOZ;30000000;786380;;45,6;23,7;44,2;0,437;0,446;26,7;;6,3;2,22481926808254;38,0420631299955;38,9225870096066;38,4423189857428;39,2975911056353;1320,54788029461;1335,87701365861;1297,29871622243;1342,29012106273;3,44381383971462;2,22481926808254;;6,87632989883423;6,01082992553711;5,86503982543945;5,50555992126465;5,45218992233276;6,0844202041626;6,26058864593506;;6,26058864593506;64;40,72650528;39,46094131;49;289;;-;5,45218992233276;6,26058864593506;5,45218992233276;6,26058864593506;6,07066011428833;0,867150008678436;;24,4;3,98200011253357;;30,603832244873;;20;14;32;29;-0,98;-1,22818863391876;-0,89;-0,765344798564911;-0,73;-0,77828586101532;-1,01;-1,03502357006073;-0,86;-0,811555683612824;36,3;44,1;28,2;26,3;46,3;51,3;50;50;36,2;;0,246986411762639;87%;79,5403372416899%;;39,6;39,6;42,4;1,51119001405329%;0,9%
Myanmar;MMR;53000000;676575;;-;24,7;40;0,578;0,585;37;;7;-17,9847423373262;239,961167803758;256,159650802764;264,289580224124;216,757780196414;4574,59617785102;4939,74797461473;5123,40770860442;4344,94316820411;6,404977325147;-17,9847423373262;;1,89999997615814;2,09999990463257;1,89999997615814;2,32633996009827;2,15748000144959;2,13986992835999;;;2,15748000144959;267;59,20605469;60,01587296;19,1306991631138;250;;-;2,15748000144959;2,13986992835999;2,15748000144959;2,14;1,94719994068146;;;0,8;2,17300009727478;;70,3971939086914;;13;0;18;9;-1,08;-2,06575703620911;-1,05;-1,41024351119995;-0,83;-1,13090217113495;-0,95;-1,45617258548737;-0,56;-1,02755951881409;17,6;16,7;28,2;29,8;53,9;49,6;20;20;22,6;;0,679428522562061;60,1%;48,2726440414479%;;10,2;10,161662817552;15,2941176470588;3,33493983033476%;
Namibia;NAM;2300000;823290;;59,7;21,6;36,8;0,647;0,615;39,1;;4,5;2,43063985834007;24,6971211797855;24,4693309236948;22,5445888605935;23,092566623338;10328,4475329955;10223,2125267306;9358,53716756859;9805,18187897016;1,05994347072928;2,43063985834007;;9,57785415649414;9,85076808929443;10,6387958526611;9,70867252349854;8,88112258911133;8,92702674865723;9,44689655303955;9,6404914855957;9,6404914855957;942;464,48406982;427,25622559;;195;;-;8,88112258911133;9,6404914855957;8,88112258911133;9,6404914855957;1,51895999908447;1,60896003246307;;25,6;21,67799949646;;56,2586936950684;;30;31;47;46;0,65;0,547819197177887;0,2;0,059346284717321;-0,19;-0,004640299361199;0,24;0,362279295921326;0,32;0,258660823106766;54,2;67,6;45,4;53,9;58,5;59,2;40;40;40,7;;1,69170542764537;97,9%;96,0129559651423%;;41,3;46,1538461538462;44,2307692307692;3,00171992334371%;3%
